ID,Providers_08_09,Providers_09_10,Providers_10_11,Providers_11_12,Providers_12_13,Providers_13_14,Providers_14_15,Providers_15_16,Providers_16_17,Providers_17_18,Providers_18_19,Providers_19_20,Providers_20_21,Providers_21_22
15A,,,,,,,,,,,,,NHS Berkshire West CCG,
15D,,,,,,,,,,,,,NHS East Berkshire CCG,
5A3,South Gloucestershire PCT,South Gloucestershire PCT,,,,,,,,,,,,
5A4,Havering PCT,Havering PCT,HAVERING PCT,HAVERING PCT,Havering PCT,,,,,,,,,
5A5,Kingston PCT,Kingston PCT,KINGSTON PCT,KINGSTON PCT,Kingston PCT,,,,,,,,,
5AT,Hillingdon PCT,Hillingdon PCT,HILLINGDON PCT,HILLINGDON PCT,,,,,,,,,,
5C1,Enfield PCT,Enfield PCT,ENFIELD PCT,ENFIELD PCT,Enfield PCT,,,,,,,,,
5C4,Tower Hamlets PCT,Tower Hamlets PCT,TOWER HAMLETS PCT,TOWER HAMLETS PCT,,,,,,,,,,
5C5,Newham PCT,Newham PCT,NEWHAM PCT,NEWHAM PCT,NEWHAM PCT,,,,,,,,,
5C9,Haringey Teaching PCT,Haringey Teaching PCT,HARINGEY TEACHING PCT,HARINGEY TEACHING PCT,,,,,,,,,,
5CN,Herefordshire PCT,Herefordshire PCT,HEREFORDSHIRE PCT,HEREFORDSHIRE PCT,Herefordshire PCT,,,,,,,,,
5CQ,Milton Keynes PCT,Milton Keynes PCT,MILTON KEYNES PCT,MILTON KEYNES PCT,Milton Keynes PCT,,,,,,,,,
5EF,,,,,,,,,,,,,,
5F1,Plymouth Teaching PCT,Plymouth Teaching PCT,PLYMOUTH TEACHING PCT,PLYMOUTH TEACHING PCT,,,,,,,,,,
5FE,Portsmouth City Teaching PCT,Portsmouth City Teaching PCT,PORTSMOUTH CITY TEACHING PCT,PORTSMOUTH CITY TEACHING PCT,,,,,,,,,,
5FL,Bath And North East Somerset PCT,Bath And North East Somerset PCT,BATH AND NORTH EAST SOMERSET PCT,BATH AND NORTH EAST SOMERSET PCT,,,,,,,,,,
5H8,Rotherham PCT,Rotherham PCT,,,,,,,,,,,,
5J2,Warrington PCT,Warrington PCT,WARRINGTON PCT,WARRINGTON PCT,,,,,,,,,,
5J9,,,DARLINGTON PCT,DARLINGTON PCT,,,,,,,,,,
5JE,Barnsley PCT,Barnsley PCT,,,,,,,,,,,,
5K3,Swindon PCT,Swindon PCT,SWINDON PCT,SWINDON PCT,Swindon PCT,,,,,,,,,
5K5,Brent Teaching PCT,Brent Teaching PCT,,,,,,,,,,,,
5K7,Camden PCT,Camden PCT,CAMDEN PCT,CAMDEN PCT,Camden PCT,,,,,,,,,
5KG,South Tyneside PCT,South Tyneside PCT,,,,,,,,,,,,
5KL,Sunderland Teaching PCT,Sunderland Teaching PCT,SUNDERLAND TEACHING PCT,SUNDERLAND TEACHING PCT,,,,,,,,,,
5L1,Southampton City PCT,Southampton City PCT,,,,,,,,,,,,
5L3,Medway PCT,Medway PCT,,,,,,,,,,,,
5LA,Kensington And Chelsea PCT,Kensington And Chelsea PCT,,,,,,,,,,,,
5LG,Wandsworth PCT,Wandsworth PCT,WANDSWORTH PCT,WANDSWORTH PCT,Wandsworth PCT,,,,,,,,,
5M1,South Birmingham PCT,South Birmingham PCT,,,South Birmingham PCT,,,,,,,,,
5M2,Shropshire County PCT,Shropshire County PCT,SHROPSHIRE COUNTY PCT,SHROPSHIRE COUNTY PCT,,,,,,,,,,
5M3,Walsall Teaching PCT,Walsall Teaching PCT,WALSALL TEACHING PCT,WALSALL TEACHING PCT,,,,,,,,,,
5M6,Richmond And Twickenham PCT,Richmond And Twickenham PCT,RICHMOND AND TWICKENHAM PCT,RICHMOND AND TWICKENHAM PCT,Richmond and Twickenham PCT,,,,,,,,,
5M7,Sutton And Merton PCT,Sutton And Merton PCT,,,,,,,,,,,,
5M8,,,NORTH SOMERSET PCT,NORTH SOMERSET PCT,,,,,,,,,,
5MD,,,,,,,,,,,,,,
5MK,Telford And Wrekin PCT,Telford And Wrekin PCT,TELFORD AND WREKIN PCT,TELFORD AND WREKIN PCT,,,,,,,,,,
5MV,Wolverhampton City PCT,Wolverhampton City PCT,WOLVERHAMPTON CITY PCT,WOLVERHAMPTON CITY PCT,,,,,,,,,,
5MX,Heart Of Birmingham Teaching PCT,Heart Of Birmingham Teaching PCT,,,Heart Of Birmingham Teaching PCT,,,,,,,,,
5N2,,,,,,,,,,,,,,
5N5,Doncaster PCT,Doncaster PCT,,,,,,,,,,,,
5N6,Derbyshire County PCT,Derbyshire County PCT,,,,,,,,,,,,
5N8,Nottinghamshire County Teaching PCT,Nottinghamshire County Teaching PCT,NOTTINGHAMSHIRE COUNTY TEACHING PCT,NOTTINGHAMSHIRE COUNTY TEACHING PCT,,,,,,,,,,
5N9,,,,,,,,,,,,,,
5NE,Cumbria Teaching PCT,Cumbria Teaching PCT,,,,,,,,,,,,
5NG,Central Lancashire PCT,Central Lancashire PCT,CENTRAL LANCASHIRE PCT,CENTRAL LANCASHIRE PCT,,,,,,,,,,
5NH,,East Lancashire Teaching PCT,,,,,,,,,,,,
5NL,Liverpool PCT,Liverpool PCT,LIVERPOOL PCT,LIVERPOOL PCT,,,,,,,,,,
5NN,Western Cheshire PCT,Western Cheshire PCT,,,,,,,,,,,,
5NV,North Yorkshire And York PCT,North Yorkshire And York PCT,NORTH YORKSHIRE AND YORK PCT,NORTH YORKSHIRE AND YORK PCT,North Yorkshire and York PCT,,,,,,,,,
5NW,East Riding Of Yorkshire PCT,East Riding Of Yorkshire PCT,,,,,,,,,,,,
5P3,East And North Hertfordshire PCT,East And North Hertfordshire PCT,,,,,,,,,,,,
5P4,West Hertfordshire PCT,West Hertfordshire PCT,,,,,,,,,,,,
5P5,Surrey PCT,Surrey PCT,SURREY PCT,SURREY PCT,,,,,,,,,,
5P6,West Sussex PCT,West Sussex PCT,,,,,,,,,,,,
5P7,East Sussex Downs And Weald PCT,East Sussex Downs And Weald PCT,,,,,,,,,,,,
5P8,Hastings And Rother PCT,Hastings And Rother PCT,,,,,,,,,,,,
5PA,Leicestershire County And Rutland PCT,Leicestershire County And Rutland PCT,,,,,,,,,,,,
5PC,Leicester City PCT,Leicester City PCT,,,,,,,,,,,,
5PD,Northamptonshire Teaching PCT,Northamptonshire Teaching PCT,,,,,,,,,,,,
5PE,,,,,,,,,,,,,,
5PG,,,,,Birmingham East and North PCT,,,,,,,,,
5PH,North Staffordshire PCT,North Staffordshire PCT,NORTH STAFFORDSHIRE PCT,NORTH STAFFORDSHIRE PCT,,,,,,,,,,
5PJ,Stoke On Trent PCT,Stoke On Trent PCT,STOKE ON TRENT PCT,STOKE ON TRENT PCT,,,,,,,,,,
5PK,South Staffordshire PCT,South Staffordshire PCT,SOUTH STAFFORDSHIRE PCT,SOUTH STAFFORDSHIRE PCT,,,,,,,,,,
5PL,Worcestershire PCT,Worcestershire PCT,WORCESTERSHIRE PCT,WORCESTERSHIRE PCT,,,,,,,,,,
5PM,Warwickshire PCT,Warwickshire PCT,,,,,,,,,,,,
5PP,Cambridgeshire PCT,Cambridgeshire PCT,,,,,,,,,,,,
5PQ,Norfolk PCT,Norfolk PCT,,,,,,,,,,,,
5PR,,,,GREAT YARMOUTH AND WAVENEY PCT,Great Yarmouth and Waveney PCT,,,,,,,,,
5PT,,Suffolk PCT,SUFFOLK PCT,SUFFOLK PCT,Suffolk PCT,,,,,,,,,
5PV,West Essex PCT,West Essex PCT,WEST ESSEX PCT,WEST ESSEX PCT,West Essex PCT,,,,,,,,,
5PX,Mid Essex PCT,Mid Essex PCT,MID ESSEX PCT,MID ESSEX PCT,Mid Essex PCT,,,,,,,,,
5PY,South West Essex PCT,South West Essex PCT,SOUTH WEST ESSEX PCT,SOUTH WEST ESSEX PCT,,,,,,,,,,
5QA,Eastern And Coastal Kent PCT,Eastern And Coastal Kent PCT,,,,,,,,,,,,
5QC,Hampshire PCT,Hampshire PCT,HAMPSHIRE PCT,HAMPSHIRE PCT,HAMPSHIRE PCT,,,,,,,,,
5QD,Buckinghamshire PCT,Buckinghamshire PCT,,,,,,,,,,,,
5QE,Oxfordshire PCT,Oxfordshire PCT,,,,,,,,,,,,
5QF,Berkshire West PCT,Berkshire West PCT,BERKSHIRE WEST PCT,BERKSHIRE WEST PCT,Berkshire West PCT,,,,,,,,,
5QG,Berkshire East PCT,Berkshire East PCT,BERKSHIRE EAST PCT,BERKSHIRE EAST PCT,Berkshire East PCT,,,,,,,,,
5QH,Gloucestershire PCT,Gloucestershire PCT,GLOUCESTERSHIRE PCT,GLOUCESTERSHIRE PCT,Gloucestershire PCT,,,,,,,,,
5QK,Wiltshire PCT,Wiltshire PCT,WILTSHIRE PCT,WILTSHIRE PCT,,,,,,,,,,
5QL,Somerset PCT,Somerset PCT,SOMERSET PCT,SOMERSET PCT,SOMERSET PCT,,,,,,,,,
5QM,Dorset PCT,Dorset PCT,DORSET PCT,DORSET PCT,Dorset PCT,,,,,,,,,
5QN,Bournemouth And Poole Teaching PCT,Bournemouth And Poole Teaching PCT,BOURNEMOUTH AND POOLE TEACHING PCT,BOURNEMOUTH AND POOLE TEACHING PCT,,,,,,,,,,
5QP,Cornwall And Isles Of Scilly PCT,Cornwall And Isles Of Scilly PCT,CORNWALL AND ISLES OF SCILLY PCT,CORNWALL AND ISLES OF SCILLY PCT,,,,,,,,,,
5QQ,Devon PCT,Devon PCT,DEVON PCT,DEVON PCT,,,,,,,,,,
5QR,Redcar And Cleveland PCT,Redcar And Cleveland PCT,,,,,,,,,,,,
5QT,Isle Of Wight NHS PCT,Isle Of Wight NHS PCT,ISLE OF WIGHT NHS PCT,ISLE OF WIGHT NHS PCT,Isle Of Wight NHS PCT,,,,,,,,,
8A101,St Luke's Hospice (Sheffield),St Luke's Hospice (Sheffield),ST LUKE's HOSPICE (SHEFFIELD),ST LUKE's HOSPICE (SHEFFIELD),St Luke's Hospice (Sheffield),St Luke's Hospice (Sheffield) (8A101),St Luke's Hospice (Sheffield) (8A101),St Luke's Hospice (Sheffield) (8A101),,,,,,
8A718,,,,,,,,,,,,,London Clinic,London Clinic
8E339,,,WOODLANDS DAY HOSPICE,WOODLANDS DAY HOSPICE,Woodlands Day Hospice,Woodlands Hospice Charitable Trust (8E339),Woodlands Hospice Charitable Trust (8E339),Woodlands Hospice Charitable Trust (8E339),,,,,,
8G301,,,,,,,,,,,Ryalls Ann (Counsellor) (8G301),,,
8HE28,,,,,,,,,,,,,Harley Street On 15,
8HP32,,,,,,Eastern Surgery Ltd (8HP32),Eastern Surgery Ltd (8HP32),Eastern Surgery Ltd (8HP32),,,,,,
8J285,,,,,,,Shaw Healthcare (Ledbury) Limited (8J285),Shaw Healthcare (Ledbury) Limited (8J285),Shaw Healthcare (Ledbury) Limited (8J285),Shaw Healthcare (Ledbury) Limited (8J285),,,,
A0C5S,,,,,,,,,,,,,,Spamedica Gloucester
A4M8P,,,,,,,,,,,,,,Ramsey Healthcare - Buckshaw Hospital
AAH01,,,,,,Tetbury Hospital Trust (AAH01),Tetbury Hospital Trust (AAH01),Tetbury Hospital Trust (AAH01),Tetbury Hospital Trust (AAH01),Tetbury Hospital Trust (AAH01),Tetbury Hospital Trust (AAH01),Tetbury Hospital Trust - (AAH01),Tetbury Hospital Trust,Tetbury Hospital Trust
AAV02,,,,,,,,,,,,,,Community Health and Eyecare Limited (Preston)
ACG05,,,,,,,,,,Swindon Community Ophthalmology Service - Taw Hill (ACG05),,,,
ACG06,,,,,,,,,,Swindon Community Ophthalmology Service - Tetbury (ACG06),,,,
ACG07,,,,,,,,,,"Leicester, Leicestershire & Rutland Cataract Service (ACG07)",Newmedica Community Ophthalmology - Leicestershire - Leicester (Stoneygate Eye Hospital) (ACG07),Newmedica Community Ophthalmology - Leicestershire - Leicester (Stoneygate Eye Hospital) - (ACG07),Newmedica Community Ophthalmology - Leicestershire - Leicester (Stoneygate Eye Hospital),Newmedica Community Ophthalmology - Leicestershire - Leicester (Stoneygate Eye Hospital)
ACG08,,,,,,,,,,,,Newmedica Ophthalmology - Nuneaton - Camp Hill - GP Led Health Centre - (ACG08),Newmedica Ophthalmology - Nuneaton - Camp Hill - GP Led Health Centre,Newmedica Ophthalmology - Nuneaton - Camp Hill - GP Led Health Centre
ACG09,,,,,,,,,,North Derbyshire Community Ophthalmology Service At Barlborough Treatment Centre (ACG09),Newmedica Community Ophthalmology - North Derbyshire - Barlborough Treatment Centre (ACG09),Newmedica Community Ophthalmology - North Derbyshire - Barlborough Treatment Centre - (ACG09),Newmedica Community Ophthalmology - North Derbyshire - Barlborough Treatment Centre,Newmedica Community Ophthalmology - North Derbyshire - Barlborough Treatment Centre
ACG10,,,,,,,,,,,Newmedica Community Ophthalmology - Bristol - Bristol (ACG10),,,
ACG12,,,,,,,,,,,Newmedica Community Ophthalmology - North East Lincolnshire - Grimsby (ACG12),Newmedica Community Ophthalmology - North East Lincolnshire - Grimsby - (ACG12),Newmedica Community Ophthalmology - North East Lincolnshire - Grimsby,Newmedica Community Ophthalmology - North East Lincolnshire - Grimsby
ACG13,,,,,,,,,,,Newmedica Community Ophthalmology - Gloucestershire - Gloucester (Aspen Centre) (Acg13) (ACG13),Newmedica Community Ophthalmology - Gloucestershire - Gloucester (Aspen Centre) (ACG13) - (ACG13),Newmedica Community Ophthalmology - Gloucestershire - Gloucester (Aspen Centre),Newmedica Community Ophthalmology - Gloucestershire - Gloucester (Aspen Centre) (Acg13)
ACG19,,,,,,,,,,,Newmedica Community Ophthalmology - Leeds (ACG19),Newmedica Community Ophthalmology - Leeds - (ACG19),Newmedica Community Ophthalmology - Leeds,Newmedica Community Ophthalmology - Leeds
ACG20,,,,,,,,,,,Newmedica - Bristol - Litfield House (ACG20),Newmedica - Bristol - Litfield House - (ACG20),Newmedica - Bristol - Litfield House,Newmedica - Bristol - Litfield House
ACG22,,,,,,,,,,,,,Newmedica - Brigg - Riverside Surgery,Newmedica - Brigg - Riverside Surgery
ACG24,,,,,,,,,,,,Newmedica - Teesside - North Ormesby - (ACG24),Newmedica - Teesside - North Ormesby,Newmedica - Teesside - North Ormesby
ACG30,,,,,,,,,,,,,,Newmedica - Worksop - Dukeries
ACG36,,,,,,,,,,,,,Newmedica - Exeter - Glen House,Newmedica - Exeter - Glen House
ACG37,,,,,,,,,,,,,Newmedica - Ipswich,Newmedica - Ipswich
ACG38,,,,,,,,,,,,,Newmedica - Langford,
ACG40,,,,,,,,,,,,,Newmedica - Wakefield,Newmedica - Wakefield
ACG41,,,,,,,,,,,,,Newmedica - Frome,Newmedica - Frome
ADP02,,,,,,,,,,Kims Hospital (Newnham Court) (ADP02),KIMS Hospital (Newnham Court) (ADP02),Kims Hospital (Newnham Court) - (ADP02),Kims Hospital (Newnham Court),Kims Hospital (Newnham Court)
AHH01,,,,,,,Foscote Court (Banbury) Trust (AHH01),Foscote Court (Banbury) Trust (AHH01),Foscote Court (Banbury) Trust (AHH01),Foscote Court (Banbury) Trust (AHH01),Foscote Court (Banbury) Trust (AHH01),,,
AHR01,,,,,,,,,,,,,King Edward VII's Hospital Sister Agnes,King Edward VII's Hospital Sister Agnes
AJX01,,,,,,,,,,Sussex Msk Partnership 2 Ltd (AJX01),Sussex MSK Partnership 2 Ltd (AJX01),Sussex Msk Partnership 2 Ltd - (AJX01),,
ARH01,,,,,,,,,,,,,,
AVQ01,,,,,,,,,,,One Ashford Hospital (AVQ01),One Ashford Hospital - (AVQ01),One Ashford Hospital,One Ashford Hospital
AVQ03,,,,,,,,,,,,One Hatfield Hospital - (AVQ03),One Hatfield Hospital,One Hatfield Hospital
AXG01,,,,,,,,,,,Wiltshire Health & Care (Chippenham) (AXG01),Wiltshire Health & Care (Chippenham) - (AXG01),Wiltshire Health & Care (Chippenham),Wiltshire Health & Care (Chippenham)
AXG02,,,,,,,,,,,Savernake Community Hospital (AXG02),Savernake Community Hospital - (AXG02),Savernake Community Hospital,Savernake Community Hospital
AXG03,,,,,,,,,,,Warminster Community Hospital (AXG03),Warminster Community Hospital - (AXG03),Warminster Community Hospital,Warminster Community Hospital
B3M1X,,,,,,,,,,,,,,Claremont Private Hospital
B4N1U,,,,,,,,,,,,,,Spamedica Romford
B5M7B,,,,,,,,,,,,,,Newmedica - Norwich
B9J4U,,,,,,,,,,,,,,Spamedica Peterborough
B9M3W,,,,,,,,,,,,,,Spamedica Southampton
DLY01,,,,,,,,,,,,,Schoen Clinic London (Wigmore Street),Schoen Clinic London (Wigmore Street)
DM801,,,,,,,,,,,,,Weymouth Street Hospital,Weymouth Street Hospital
DX101,,,,,,,,,,,The New Foscote Hospital (Foscote Hospital) (DX101),The New Foscote Hospital (Foscote Hospital) - (DX101),The New Foscote Hospital (Foscote Hospital),The New Foscote Hospital (Foscote Hospital)
E4K5T,,,,,,,,,,,,,,Optegra Eye Hospital Newcastle
