ID,Name,National Grouping,Higher Health Authority,Opened,Closed,Address
15A,"Clinical Commissioning Group - NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST ICB - 15A (15A)",Y59 SOUTH EAST COMMISSIONING REGION,"QU9 NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",1/4/2018,N/A,57-59 BATH ROAD READING RG30 2BA
15D,Clinical Commissioning Group - NHS EAST BERKSHIRE CCG (15D),Y59 SOUTH EAST COMMISSIONING REGION,QNQ NHS FRIMLEY INTEGRATED CARE BOARD,1/4/2018,31/03/2021,KING EDWARD VII HOSPITAL ST LEONARDS ROAD WINDSOR SL4 3DP
5A3,Primary Care Trust - SOUTH GLOUCESTERSHIRE PCT (5A3),Y52 THE SOUTHERN PROGRAMME FOR IT (SPFIT),Q39 SOUTH WEST STRATEGIC HEALTH AUTHORITY,1/4/2001,31/03/2013,1 MONARCH COURT EMERALD PARK EMERSON'S GREEN BRISTOL AVON BS16 7FH
5A4,Primary Care Trust - HAVERING PCT (5A4),Y53 THE LONDON PROGRAMME FOR IT (LPFIT),Q36 LONDON STRATEGIC HEALTH AUTHORITY,1/4/2001,31/03/2013,ST. GEORGES HOSPITAL 117 SUTTONS LANE HORNCHURCH ESSEX RM12 6RS
5A5,Primary Care Trust - KINGSTON PCT (5A5),Y53 THE LONDON PROGRAMME FOR IT (LPFIT),Q36 LONDON STRATEGIC HEALTH AUTHORITY,1/4/2001,31/03/2013,22 HOLLYFIELD ROAD SURBITON SURREY KT5 9AL
5AT,Primary Care Trust - HILLINGDON PCT (5AT),Y53 THE LONDON PROGRAMME FOR IT (LPFIT),Q36 LONDON STRATEGIC HEALTH AUTHORITY,1/4/2000,31/03/2013,KIRK HOUSE 97-109 HIGH STREET YIEWSLEY WEST DRAYTON MIDDLESEX UB7 7HJ
5C1,Primary Care Trust - ENFIELD PCT (5C1),Y53 THE LONDON PROGRAMME FOR IT (LPFIT),Q36 LONDON STRATEGIC HEALTH AUTHORITY,1/4/2001,31/03/2013,HOLBROOK HOUSE COCKFOSTERS ROAD BARNET HERTFORDSHIRE EN4 0DR
5C4,Primary Care Trust - TOWER HAMLETS PCT (5C4),Y53 THE LONDON PROGRAMME FOR IT (LPFIT),Q36 LONDON STRATEGIC HEALTH AUTHORITY,1/4/2001,31/03/2013,NHS TOWER HAMLETS ANEURIN BEVAN HOUSE 81 COMMERCIAL ROAD LONDON GREATER LONDON E1 1RD
5C5,Primary Care Trust - NEWHAM PCT (5C5),Y53 THE LONDON PROGRAMME FOR IT (LPFIT),Q36 LONDON STRATEGIC HEALTH AUTHORITY,1/4/2001,31/03/2013,WAREHOUSE K 2 WESTERN GATEWAY LONDON GREATER LONDON E16 1DR
5C9,Primary Care Trust - HARINGEY TEACHING PCT (5C9),Y53 THE LONDON PROGRAMME FOR IT (LPFIT),Q36 LONDON STRATEGIC HEALTH AUTHORITY,1/4/2001,31/03/2013,ST. ANN'S GENERAL HOSPITAL ST. ANN'S ROAD LONDON GREATER LONDON N15 3TH
