Place,Address,Coordinates,Place ID
St Luke's Hospice,"Fobbing Farm Cl, Nether Mayne, Basildon SS16 5NJ, United Kingdom","{'lat': 51.56131749999999, 'lng': 0.451538}",ChIJn8oRgYvG2EcRa4qZxggYiH0
Woodlands Hospice,"AUH Campus, Longmoor Ln, Fazakerley, Liverpool L9 7LA, United Kingdom","{'lat': 53.4658234, 'lng': -2.9385342}",ChIJ6QZXj0gie0gR1kmuF01Ue5c
Eastern Tree Surgery Co,"7 Heath Rd, Swaffham Prior, Cambridge CB25 0LA, United Kingdom","{'lat': 52.2450955, 'lng': 0.312551}",ChIJxz37TBhp2EcRSdHviETHBqg
Virgin Care Limited,"6600, Daresbury Business Park, Daresbury WA4 4GE, United Kingdom","{'lat': 53.3317127, 'lng': -2.6409754}",ChIJ9UW0ahb9ekgRu7abZ7mQfc4
Forum House,"3 Empire Way, Wembley Park, Wembley HA9 0HN, United Kingdom","{'lat': 51.5583355, 'lng': -0.2848299}",ChIJ77PZH9UTdkgRZdsospx1CmM
EDICS,"5 All. Moulin Berger, 69130 Écully, France","{'lat': 45.79917589999999, 'lng': 4.769943}",ChIJJ_i8a7Wa9EcRXeuf-_Ms8fc
Ashtead Hospital,"The Warren, Ashtead KT21 2SB, United Kingdom","{'lat': 51.304466, 'lng': -0.303313}",ChIJi9Wil3XhdUgRyEYhg-II3rY
WRS Solutions,"Griffin House, Don Pottery Yard, Rowms Ln, Swinton, Mexborough S64 8AA, United Kingdom","{'lat': 53.4890789, 'lng': -1.2997714}",ChIJjRqaZb1zeUgRUMvkFgoXUao
Spire Claremont Hospital,"401 Sandygate Rd, Sheffield S10 5UB, United Kingdom","{'lat': 53.37559109999999, 'lng': -1.5351724}",ChIJR8tMDvyBeUgRQCQQTCMKwtU
Somerset Surgical Services,"Weston General Hospital, Grange Rd, Uphill, Weston-super-Mare BS23 4TQ, United Kingdom","{'lat': 51.322429, 'lng': -2.9718702}",ChIJPT6_97H4cUgRPEbX4U5O1O8
Suffolk Community Healthcare,"Allington House, 427 Woodbridge Rd, Ipswich IP4 4ER, United Kingdom","{'lat': 52.0619198, 'lng': 1.1788829}",ChIJk1Jw6Xaf2UcRqLHf9XSBqV4
Peninsula Community Health,"Priory Rd, St Austell, Saint Austell PL25 5AS, United Kingdom","{'lat': 50.3397757, 'lng': -4.794760999999999}",ChIJI5JeHclua0gRbMyGWCU1ALM
"NHS Bristol, North Somerset and South Gloucestershire","17 Marlborough St, Bristol BS1 3NX, United Kingdom","{'lat': 51.4593165, 'lng': -2.5923964}",ChIJjxFaoXaOcUgR4YEUd6NUUtE
Paulton Memorial Hospital,"Salisbury Rd, Paulton, Bristol BS39 7SB, United Kingdom","{'lat': 51.298687, 'lng': -2.4932671}",ChIJt1ccXd0nckgRnkdfecP7tj8
The Peter Smith Surgery Centre,"Queen Elizabeth Hospital, Gateshead NE9 6SX, United Kingdom","{'lat': 54.937537, 'lng': -1.5801825}",ChIJaeDGq296fkgRSx5c_NdyEtM
Braintree Community Hospital,"Chadwick Dr, Braintree CM7 2AL, United Kingdom","{'lat': 51.8798448, 'lng': 0.540426}",ChIJ97SMjETw2EcRowTrVt6te-I
St Bartholomew's Hospital,"W Smithfield, London EC1A 7BE, United Kingdom","{'lat': 51.51749599999999, 'lng': -0.1000463}",ChIJjc9of1MbdkgRGvFEbt0j_vc
The Wisdom Hospice,"High Bank, Rochester ME1 2NU, United Kingdom","{'lat': 51.37245739999999, 'lng': 0.5093018}",ChIJd_lTs73N2EcRD_zWJMhC5xQ
Halstead Clinic,"78 Hedingham Rd, Halstead CO9 2DL, United Kingdom","{'lat': 51.9482177, 'lng': 0.6378514}",ChIJreqITG752EcRcJal77PyGLo
NAVIGO Services,"Jaśkowa Dolina 132/25, 80-286 Gdańsk, Poland","{'lat': 54.35822160000001, 'lng': 18.5877953}",ChIJVVXFJ150_UYRmnlw27BB49g
Syrena House,"284 Dean Cross Rd, Plymstock, Plymouth PL9 7AZ, United Kingdom","{'lat': 50.3610408, 'lng': -4.0911455}",ChIJq_LTjYHsbEgR9_UATJOYK9k
Glenbourne Unit,"Morlaix Dr, Plymouth PL6 5AF, United Kingdom","{'lat': 50.415675, 'lng': -4.1179936}",ChIJt4OV3BXtbEgRTuvJXnlEHSw
Mount Gould Hospital,"200 Mount Gould Rd, Plymouth PL4 7QD, United Kingdom","{'lat': 50.37898939999999, 'lng': -4.111707}",ChIJ23QYRJXsbEgRB687s-gOQ1w
Nuffield Health Brighton Hospital,"Warren Rd, Brighton and Hove, Brighton BN2 6DX, United Kingdom","{'lat': 50.8345752, 'lng': -0.08202469999999999}",ChIJ6bNpkg-GdUgRIuFwT80RsTw
Nuffield Health Bristol Hospital,"3 Clifton Hill, Clifton, Bristol BS8 1BN, United Kingdom","{'lat': 51.4536526, 'lng': -2.6159936}",ChIJpetAsNqNcUgRjU5bUNu-aP8
Nuffield Health Exeter Hospital,"Wonford Rd, Exeter EX2 4UG, United Kingdom","{'lat': 50.7165346, 'lng': -3.5114829}",ChIJUUExNhukbUgRao1EAjJOoS0
Nuffield Health Ipswich Hospital,"Foxhall Rd, Ipswich IP4 5SW, United Kingdom","{'lat': 52.04763999999999, 'lng': 1.2288801}",ChIJMyDCqFye2UcRP6M5UOo7nBM
Nuffield Health Shrewsbury Hospital,"Longden Rd, Shrewsbury SY3 9DP, United Kingdom","{'lat': 52.6921282, 'lng': -2.7712632}",ChIJLQaYTkueekgRAEJRTiLM_rQ
Nuffield Health Tees Hospital,"Junction Rd, Stockton-on-Tees TS20 1PX, United Kingdom","{'lat': 54.5934817, 'lng': -1.3353898}",ChIJ7y0uVnySfkgR7eblEHdpwyk
Nuffield Health York Hospital,"Haxby Rd, Clifton, York YO31 8TA, United Kingdom","{'lat': 53.9741463, 'lng': -1.0761393}",ChIJkY-I2pkxeUgRh-d-iuG-V0Q
Spire Portsmouth Hospital,"Bartons Rd, Havant PO9 5NP, United Kingdom","{'lat': 50.868503, 'lng': -0.9551409999999999}",ChIJkd0lVhFFdEgRt9XxxxHAxVI
Spire Sussex Private GP Surgery,"Spire Sussex Hospital, The Ridge, St Leonards TN37 7RE, United Kingdom","{'lat': 50.8830123, 'lng': 0.5809365}",ChIJD2_hVm0b30cRGXqWCyQIRco
Spire Alexandra Hospital,"Impton Ln, Walderslade, Chatham ME5 9PG, United Kingdom","{'lat': 51.3279434, 'lng': 0.5267913}",ChIJ6Q10hNwy30cRZ7w6W_F4jyc
Spire Wellesley Hospital,"Eastern Ave, Southend-on-Sea SS2 4XH, United Kingdom","{'lat': 51.5546679, 'lng': 0.7272029}",ChIJ8RJA-FfY2EcRKHPyzkp4thw
Spire Bushey Hospital,"Heathbourne Rd, Bushey WD23 1RD, United Kingdom","{'lat': 51.6372502, 'lng': -0.3317396}",ChIJKRhuZf8UdkgRQtm7lSSxZBg
Spire Cambridge Lea Hospital,"30 New Rd, Impington, Cambridge CB24 9EL, United Kingdom","{'lat': 52.2447053, 'lng': 0.1133034}",ChIJuYTUTjtx2EcRcNeYJUIKVVU
Spire Little Aston Hospital,"Little Aston Hall Dr, The Royal Town of Sutton Coldfield, Birmingham, Sutton Coldfield B74 3UP, United Kingdom","{'lat': 52.599878, 'lng': -1.875288}",ChIJlQBz1hykcEgRI7qXWNw99Hc
Spire Cheshire Hospital,"Fir Tree Cl, Warrington WA4 4LU, United Kingdom","{'lat': 53.3375418, 'lng': -2.576462}",ChIJUTYwa9z9ekgREE1oRusCSU8
"Spire Murrayfield Hospital, Wirral","Holmwood Dr, Thingwall, Barnston, Wirral CH61 1AU, United Kingdom","{'lat': 53.351795, 'lng': -3.075506}",ChIJ8xcpugnYekgRyYYb0mhakug
Spire Manchester Hospital,"170 Barlow Moor Rd, Manchester M20 2AF, United Kingdom","{'lat': 53.4251113, 'lng': -2.2528544}",ChIJD6vEgv-te0gRGMhVPRUeBfI
Spire Leeds Hospital,"Jackson Ave, Roundhay, Leeds LS8 1NT, United Kingdom","{'lat': 53.8322193, 'lng': -1.5144541}",ChIJO86WYZdbeUgRy_n4KgTjjNU
Spire Washington Hospital,"Picktree Ln, Rickleton, Washington NE38 9JZ, United Kingdom","{'lat': 54.87937969999999, 'lng': -1.5591265}",ChIJO_hDBnZ7fkgRScyEOXWzp0A
Spire Liverpool Hospital,"57 Greenbank Rd, Liverpool L18 1HQ, United Kingdom","{'lat': 53.3858072, 'lng': -2.9237964}",ChIJBeFOwEUge0gR5-xHnrxnVms
Spire Regency Hospital,"West St, Macclesfield SK11 8DW, United Kingdom","{'lat': 53.2607404, 'lng': -2.1374181}",ChIJzbINODRJekgRhHTAvXJGhaI
Spire Thames Valley Hospital,"Wexham St, Wexham Street, Slough SL3 6NH, United Kingdom","{'lat': 51.5427574, 'lng': -0.5725601}",ChIJdd33Efx6dkgRiRYR82EB4Lk
Spire St Saviours Hospital,"71-73 Seabrook Rd, Hythe CT21 5BU, United Kingdom","{'lat': 51.07261829999999, 'lng': 1.1076036}",ChIJZVKwAr3A3kcRRDYUikOriNA
Spire Fylde Coast Hospital,"St Walburgas Rd, Blackpool FY3 8BP, United Kingdom","{'lat': 53.8260853, 'lng': -3.0196397}",ChIJAZ055Z5De0gRN94_3vffaWg
Spire Elland Hospital,"Elland Ln, Elland HX5 9EB, United Kingdom","{'lat': 53.6888786, 'lng': -1.8288143}",ChIJu290Ghnde0gRiWW8kVhlkJw
Spire Methley Park Hospital,"Methley Ln, Methley, Leeds LS26 9HG, United Kingdom","{'lat': 53.7403528, 'lng': -1.4233701}",ChIJWf-xPrFCeUgRXOnUOG-o5DY
